title,artist,track_image,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Better When I'm Dancin',Meghan Trainor,https://cdnimg.melon.co.kr/cm/album/images/026/54/418/2654418_500.jpg/melon/resize/120/quality/80/optimize,5k5fWendNngd89O8JKoE8L,0.756,0.789,-7.002,0.0324,0.53,0.000711,0.157,0.873,127.987,OST
Ullaasam ,"Jakes Bejoy, Sanjith Hegde, Krishna Lasya Muthyala",https://cdnimg.melon.co.kr/cm2/album/images/115/49/681/11549681_20240724145123_500.jpg/melon/resize/120/quality/80/optimize,0ROW5t0PWyBS6k0UizBr6c,0.715,0.602,-8.129,0.0357,0.358,0.000743,0.0486,0.494,139.934,OST
처음 그 날처럼,박용하,https://cdnimg.melon.co.kr/cm/album/images/003/60/999/360999_500.jpg/melon/resize/120/quality/80/optimize,3hxUiARMZN2vI82ncecEsn,0.595,0.567,-7.584,0.0323,0.426,2.63e-06,0.0661,0.29,164.006,OST
어머님께,god,https://cdnimg.melon.co.kr/cm/album/images/000/05/286/5286_500.jpg/melon/resize/120/quality/80/optimize,3731F2mROqxhXB4gtdteLn,0.744,0.58,-7.12,0.134,0.694,0.0,0.484,0.549,80.007,발라드
See You Again,"Charlie Puth, Wiz Khalifa",https://cdnimg.melon.co.kr/cm/album/images/023/09/376/2309376_500.jpg/melon/resize/120/quality/80/optimize,2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,OST
HEXED ,Leah Mason,https://cdnimg.melon.co.kr/cm2/album/images/115/60/958/11560958_20240806211203_500.jpg/melon/resize/120/quality/80/optimize,2YsjASle6ww8UK1rui5bEB,0.661,0.495,-6.299,0.0573,0.163,0.0,0.0781,0.565,180.059,POP
Mahvettim,Bostancı Dayı,https://cdnimg.melon.co.kr/cm2/album/images/115/61/405/11561405_20240807112507_500.jpg/melon/resize/120/quality/80/optimize,0RtzvHBV65ThWzML2a6EDA,0.577,0.662,-7.72,0.0289,0.355,1.65e-05,0.285,0.545,163.912,POP
Hollywood,"Toro y Moi, Benjamin Gibbard",https://cdnimg.melon.co.kr/cm2/album/images/115/62/580/11562580_20240808142058_500.jpg/melon/resize/120/quality/80/optimize,1jit8yRaXz50OZNINPxtym,0.548,0.526,-8.832,0.0579,0.0447,0.0482,0.197,0.143,179.668,POP
Titipan Hatiku,Kiano Nathaniel,https://cdnimg.melon.co.kr/cm2/album/images/115/60/007/11560007_20240806122649_500.jpg/melon/resize/120/quality/80/optimize,1yva5ak3XwDDZ1D3IJJWQ1,0.649,0.668,-10.087,0.0876,0.254,0.0,0.0887,0.734,91.992,POP
Risen,Jay Ocean,https://cdnimg.melon.co.kr/cm2/album/images/115/60/766/11560766_20240806181549_500.jpg/melon/resize/120/quality/80/optimize,493i7qLKP8fMIVlTKiGfRm,0.559,0.654,-10.609,0.0537,0.0991,0.0721,0.0894,0.431,150.054,POP
Tokyo Joe,Bryan Ferry,https://cdnimg.melon.co.kr/cm2/album/images/115/62/712/11562712_20240808144452_500.jpg/melon/resize/120/quality/80/optimize,0UCAqcPwdX8884q03ZbED4,0.647,0.784,-5.578,0.0285,0.0668,0.00455,0.0625,0.881,116.558,POP
Keep Holding On,이원석 ,https://cdnimg.melon.co.kr/cm2/album/images/115/45/376/11545376_20240718141656_500.jpg/melon/resize/120/quality/80/optimize,7315OFYdJHseX4K7cXbN7T,0.514,0.882,-3.153,0.0436,0.596,0.0,0.101,0.353,170.025,OST
Someday,아이유,https://cdnimg.melon.co.kr/cm/album/images/011/24/351/1124351_500.jpg/melon/resize/120/quality/80/optimize,1JbKkEqBNMPh49vApUOJmi,0.689,0.456,-8.24,0.0321,0.438,0.0,0.145,0.325,99.953,OST
